policy_id,policyholder_id,vehicle_id,coverage_type,start_date,end_date,premium_usd,deductible_usd,is_active,agent_id,coverage_amount_usd
POL00018,PH00018,VH00018,third party,09-12-2020,09-12-2021,3598.64,750.62,No,AGT041,485981.62
POL00019,PH00019,VH00019,Collision,29 May 2021,29/05/2022,$3002.72,1985.24,FALSE,AGT010,221028.09
POL00020,PH00020,VH00020,Collision,03/10/2020,01 Oct 2020,3594.11,552.08,1,AGT041,450571.94
POL00021,PH00021,VH00021,collision,03-21-2020,2021-03-21,$516.82,,no,AGT019,131856.06
POL00022,PH00022,VH00022,Comprehensive,04-12-2019,2020-04-11,$3167.85,1673.1,FALSE,AGT005,254255.33
POL00023,PH00023,VH00023,Third Party,2021-10-08,08/10/2022,2586.06,1011.19,Y,AGT042,70851.36
POL00024,PH00024,VH00024,Collision,30/10/2024,30 Oct 2025,2003.16,1396.11,yes,AGT027,290675.77
POL00025,PH00025,VH00025,Collision,12-23-2024,23 Dec 2025,3398.86,1961.87,yes,AGT020,158544.02
POL00026,PH00026,VH00026,comprehensive,03-22-2021,03-22-2022,$397.76,1239.09,TRUE,AGT018,392206.43
POL00027,PH00027,VH00027,Third Party Fire & Theft,2020-08-28,28 Aug 2021,4776.01,1296.54,0,AGT022,163550.74
POL00028,PH00028,VH00028,Third Party,2021-01-11,2022-01-11,3814.21,1321.36,TRUE,AGT001,406272.8
POL00029,PH00029,VH00029,Third Party,18/05/2019,05-17-2020,549.06,773.33,No,AGT045,296651.55
POL00030,PH00030,VH00030,Third Party,12-01-2023,30/11/2024,$4071.64,1005.21,Y,AGT029,82566.27
POL00031,PH00031,VH00031,Comprehensive,2022-08-04,04/08/2023,886.29,1390.53,N,AGT012,60168.73
POL00032,PH00032,VH00032,Collision,01-28-2022,2023-01-28,558.46,1262.79,N,AGT039,341933.74
POL00033,PH00033,VH00033,Third Party,10-13-2022,2023-10-13,3845.92,1844.41,N,AGT003,88764.99
POL00034,PH00034,VH00034,Collision,01-07-2019,07/01/2020,4870.89,460.12,yes,AGT049,313808.34
POL00035,PH00035,VH00035,collision,02-16-2023,16/02/2024,3580.74,1382.77,True,AGT030,460778.67
POL00036,PH00036,VH00036,Collision,15/06/2019,05-25-2019,3097.88,672.04,Y,AGT006,424954.17
POL00037,PH00037,VH00037,third party,01-15-2021,01-15-2022,3716.7,,FALSE,AGT041,311534.47
POL00038,PH00038,VH00038,Third Party,04-14-2021,14/04/2022,2410.11,1188.06,Yes,AGT003,154279.2
POL00039,PH00039,VH00039,Third Party Fire & Theft,2023-12-28,2024-12-27,3913.92,1853.81,no,AGT022,21722.01
POL00040,PH00040,VH00040,Third Party,22 Oct 2024,10-22-2025,4944.4,1473.01,0,AGT004,27579.56
POL00041,PH00041,VH00041,Collision,30 Jul 2023,29/07/2024,4038.36,1527.67,no,AGT040,188086.68
POL00042,PH00042,VH00042,Collision,08-11-2019,10 Aug 2020,3918.82,269.69,False,AGT025,221968.63
POL00043,PH00043,VH00043,Collision,28 Dec 2022,12-28-2023,$466.81,,no,AGT047,253888.98
POL00044,PH00044,VH00044,Third Party Fire & Theft,2020-01-18,2021-01-17,$3252.06,1294.71,Y,AGT040,331626.19
POL00045,PH00045,VH00045,Comprehensive,07 Sep 2020,07 Sep 2021,744.14,228.33,no,AGT045,110611.85
POL00046,PH00046,VH00046,Third Party Fire & Theft,14 Sep 2021,2022-09-14,$3727.73,656.39,0,AGT005,279599.52
POL00047,PH00047,VH00047,Collision,07-23-2020,07-23-2021,4867.74,1822.75,Yes,AGT009,242161.71
POL00048,PH00048,VH00048,Collision,12-05-2019,04/12/2020,3581.48,564.66,False,AGT032,225626.68
POL00049,PH00049,VH00049,comprehensive,02 Mar 2022,03-02-2023,4366.51,1048.87,yes,AGT032,372201.43
POL00050,PH00050,VH00050,Comprehensive,14/08/2020,08-14-2021,$1430.12,1706.22,yes,AGT032,105138.0
POL00051,PH00051,VH00051,Comprehensive,09 Jan 2021,2022-01-09,3214.61,682.72,False,AGT038,307362.5
POL00052,PH00052,VH00052,Third Party,2023-01-23,2024-01-23,$1634.32,1846.83,no,AGT009,439728.17
POL00053,PH00053,VH00053,Third Party Fire & Theft,02-23-2023,2024-02-23,2806.6,1948.56,Yes,AGT001,284464.41
POL00054,PH00054,VH00054,Comprehensive,09 Sep 2021,09-09-2022,3494.29,218.94,Yes,AGT008,143260.01
POL00055,PH00055,VH00055,Comprehensive,08/08/2024,08 Aug 2025,4873.71,,False,AGT018,237240.05
POL00056,PH00056,VH00056,Comprehensive,12/10/2024,10-12-2025,$4501.05,896.22,yes,AGT004,489473.71
POL00057,PH00057,VH00057,third party fire & theft,2020-11-12,11-12-2021,4999.32,384.28,yes,AGT016,488213.72
POL00058,PH00058,VH00058,Comprehensive,2023-05-11,05-10-2024,2991.21,1114.59,False,AGT015,24748.29
POL00059,PH00059,VH00059,comprehensive,12 Mar 2021,2022-03-12,$3790.73,680.87,Yes,AGT048,24398.96
POL00060,PH00060,VH00060,Third Party Fire & Theft,06-29-2019,28 Jun 2020,4103.36,1376.92,FALSE,AGT042,173336.34
POL00061,PH00061,VH00061,Third Party Fire & Theft,03/11/2022,03 Nov 2023,2200.63,,TRUE,AGT018,395109.27
POL00062,PH00062,VH00062,Comprehensive,2023-01-09,01-09-2024,4236.86,1403.72,True,AGT001,271504.69
POL00063,PH00063,VH00063,Third Party,04 Apr 2020,04/04/2021,$4844.28,664.18,0,AGT016,377293.43
POL00064,PH00064,VH00064,Comprehensive,2021-09-17,2022-09-17,2088.26,880.89,1,AGT024,490224.06
POL00065,PH00065,VH00065,Comprehensive,04-16-2023,04-15-2024,4397.69,1686.74,Y,AGT037,406608.83
POL00066,PH00066,VH00066,Third Party Fire & Theft,05-24-2024,05-24-2025,$2564.15,1418.32,False,AGT016,460820.57
POL00067,PH00067,VH00067,Collision,29/05/2020,05-29-2021,468.87,814.12,1,AGT042,36252.66
POL00068,PH00068,VH00068,Third Party Fire & Theft,24/10/2023,23 Oct 2024,1102.68,1682.82,No,AGT039,294236.33
POL00069,PH00069,VH00069,Comprehensive,12/12/2019,2020-12-11,3383.35,1952.22,No,AGT038,338608.06
POL00070,PH00070,VH00070,Third Party,2019-03-16,03-15-2020,2082.09,842.65,Y,AGT039,57376.61
POL00071,PH00071,VH00071,Third Party Fire & Theft,10-02-2024,02/10/2025,2001.35,577.74,no,AGT023,56764.1
POL00072,PH00072,VH00072,Comprehensive,24/07/2021,07-24-2022,890.54,1803.23,0,AGT049,165692.31
POL00073,PH00073,VH00073,Third Party,11-22-2022,22 Nov 2023,325.34,1652.56,1,AGT036,242616.14
POL00074,PH00074,VH00074,Collision,23/06/2022,23/06/2023,$4616.95,711.81,True,AGT010,227623.23
POL00075,PH00075,VH00075,Collision,02 Feb 2021,2022-02-02,$2769.4,1757.37,Y,AGT004,377778.21
POL00076,PH00076,VH00076,Third Party Fire & Theft,13 Apr 2022,13 Apr 2023,3938.36,,Yes,AGT018,410574.22
POL00077,PH00077,VH00077,Collision,04/11/2021,2022-11-04,4487.9,1611.76,yes,AGT012,316187.82
POL00078,PH00078,VH00078,Third Party Fire & Theft,03/11/2021,03/11/2022,4885.6,396.34,yes,AGT006,320075.08
POL00079,PH00079,VH00079,Comprehensive,01-05-2023,05 Jan 2024,3096.8,303.77,TRUE,AGT041,306129.6
POL00080,PH00080,VH00080,collision,10/06/2023,09 Jun 2024,$4328.51,802.19,yes,AGT014,72469.74
POL00081,PH00081,VH00081,Third Party,2019-05-20,19 May 2020,540.81,1678.31,yes,AGT047,294885.26
POL00082,PH00082,VH00082,Comprehensive,06-06-2019,06-05-2020,3243.56,265.56,FALSE,AGT012,119484.43
POL00083,PH00083,VH00083,Third Party,01 Sep 2023,31/08/2024,$3047.74,1873.76,No,AGT004,135945.22
POL00084,PH00084,VH00084,Comprehensive,07-21-2020,07-21-2021,681.94,1313.33,yes,AGT009,110164.54
POL00085,PH00085,VH00085,Collision,07-25-2019,07-24-2020,4960.51,1752.02,No,AGT010,381369.16
POL00086,PH00086,VH00086,Third Party,28 Jun 2019,06-27-2020,2462.56,1504.39,FALSE,AGT030,475096.31
POL00087,PH00087,VH00087,Third Party,2023-05-12,05-11-2024,3939.18,1669.37,1,AGT039,253009.67
POL00088,PH00088,VH00088,Third Party Fire & Theft,2023-11-06,05 Nov 2024,$1799.08,1038.24,Yes,AGT024,132338.02
POL00089,PH00089,VH00089,Third Party Fire & Theft,28/04/2024,04-28-2025,3210.13,651.04,yes,AGT014,299893.03
POL00090,PH00090,VH00090,Comprehensive,19/02/2022,19 Feb 2023,3349.88,1117.58,yes,AGT025,77663.67
POL00091,PH00091,VH00091,third party fire & theft,2019-10-12,10-11-2020,$2946.51,940.85,1,AGT023,294441.85
POL00092,PH00092,VH00092,Third Party,11/06/2023,2024-06-10,641.45,,1,AGT011,74937.91
POL00093,PH00093,VH00093,Collision,2022-12-24,24 Dec 2023,1966.12,1402.94,FALSE,AGT028,158449.56
POL00094,PH00094,VH00094,Collision,2019-09-05,04 Sep 2020,$3369.24,1267.97,False,AGT036,92470.38
POL00095,PH00095,VH00095,Collision,12-01-2023,11-30-2024,2039.23,1402.81,TRUE,AGT047,364840.53
POL00096,PH00096,VH00096,Collision,2024-12-14,14/12/2025,3525.57,957.79,1,AGT046,461352.61
POL00097,PH00097,VH00097,Third Party,2022-05-22,22 May 2023,$582.89,896.33,no,AGT039,18308.54
POL00098,PH00098,VH00098,Collision,2020-03-13,2021-03-13,$3674.06,1875.32,Y,AGT045,155007.4
POL00099,PH00099,VH00099,Third Party,10 Dec 2020,10 Dec 2021,$1645.02,1605.91,N,AGT002,358261.34
POL00100,PH00100,VH00100,Comprehensive,15 May 2023,2024-05-14,$2157.21,1981.97,True,AGT036,386768.07
POL00101,PH00101,VH00101,Third Party,09-20-2020,20/09/2021,$3248.89,485.63,No,AGT024,223053.8
POL00102,PH00102,VH00102,Collision,2024-08-19,19 Aug 2025,3863.04,317.68,False,AGT032,359591.43
POL00103,PH00103,VH00103,Third Party,05 Sep 2019,2020-09-04,$4145.43,479.98,Y,AGT031,26532.66
POL00104,PH00104,VH00104,Third Party,30 Jan 2020,29 Jan 2021,2521.16,1522.13,False,AGT002,432086.55
POL00105,PH00105,VH00105,Collision,03-18-2020,03-18-2021,3201.68,,no,AGT047,153765.13
POL00106,PH00106,VH00106,third party,21/11/2022,21 Nov 2023,$3071.66,1050.35,FALSE,AGT043,219275.24
POL00107,PH00107,VH00107,Third Party Fire & Theft,2019-12-18,2020-12-17,856.08,1544.89,yes,AGT031,37237.06
POL00108,PH00108,VH00108,Comprehensive,11-27-2019,11-26-2020,2872.38,1487.32,False,AGT009,133763.12
POL00109,PH00109,VH00109,Third Party Fire & Theft,02-26-2023,2024-02-26,$1439.61,1439.65,1,AGT025,450714.8
POL00110,PH00110,VH00110,Collision,2024-06-16,06-16-2025,4411.56,1521.66,no,AGT026,29827.77
POL00111,PH00111,VH00111,Third Party,2024-05-18,18/05/2025,2704.41,1181.84,FALSE,AGT007,316357.74
POL00112,PH00112,VH00112,Third Party Fire & Theft,08-12-2022,2023-08-12,1568.9,,Y,AGT021,134031.29
POL00113,PH00113,VH00113,Collision,2021-06-14,2022-06-14,4082.61,1980.8,No,AGT002,89902.24
POL00114,PH00114,VH00114,Third Party Fire & Theft,05/05/2023,05-04-2024,3271.24,1607.75,True,AGT048,290537.32
POL00115,PH00115,VH00115,Collision,04/06/2019,2020-06-03,1311.71,1501.55,TRUE,AGT025,250890.79
POL00116,PH00116,VH00116,Collision,24 Jan 2021,2022-01-24,2947.15,1383.57,yes,AGT003,348265.46
POL00117,PH00117,VH00117,Third Party Fire & Theft,23 Apr 2024,23 Apr 2025,$3611.21,1201.1,1,AGT004,416610.21
POL00118,PH00118,VH00118,Third Party,30 Sep 2024,09-30-2025,2320.24,1361.01,False,AGT018,227965.87
POL00119,PH00119,VH00119,Comprehensive,17 Jun 2022,2023-06-17,2808.66,1232.12,Yes,AGT002,435308.64
POL00120,PH00120,VH00120,Third Party,05-13-2019,05-12-2020,4172.99,279.81,FALSE,AGT045,474585.18
POL00121,PH00121,VH00121,Collision,16 Mar 2020,16 Mar 2021,4448.41,1912.54,Yes,AGT020,62215.27
POL00122,PH00122,VH00122,Comprehensive,02-14-2019,02-14-2020,998.62,719.16,N,AGT001,434594.75
POL00123,PH00123,VH00123,Comprehensive,11/11/2020,11/11/2021,4686.0,1966.62,False,AGT015,103594.03
POL00124,PH00124,VH00124,Third Party Fire & Theft,2020-10-29,29 Oct 2021,1268.37,481.79,0,AGT007,18296.88
POL00125,PH00125,VH00125,Third Party Fire & Theft,08-29-2020,29 Aug 2021,$1261.35,345.79,No,AGT022,281565.05
POL00126,PH00126,VH00126,Third Party,24/02/2020,02-23-2021,4528.76,1623.5,False,AGT011,197032.84
POL00127,PH00127,VH00127,Comprehensive,2020-02-22,21 Feb 2021,$2879.91,711.58,No,AGT029,253672.2
POL00128,PH00128,VH00128,Collision,04 Jun 2024,06-04-2025,2342.29,396.22,TRUE,AGT035,182456.55
POL00129,PH00129,VH00129,Third Party,10-30-2019,29 Oct 2020,4488.65,1100.25,no,AGT034,396757.04
POL00130,PH00130,VH00130,Collision,09/12/2019,2020-12-08,4668.0,1117.55,False,AGT010,233908.85
POL00131,PH00131,VH00131,Collision,24 Jul 2022,24 Jul 2023,508.63,942.63,Yes,AGT002,481314.92
POL00132,PH00132,VH00132,Collision,09 Oct 2023,10-08-2024,339.75,1994.9,Y,AGT050,138224.87
POL00133,PH00133,VH00133,Third Party Fire & Theft,2021-02-09,02-09-2022,1241.71,1300.24,yes,AGT022,319623.41
POL00134,PH00134,VH00134,Comprehensive,30/05/2020,05-30-2021,$3449.18,1755.82,0,AGT008,403002.67
POL00135,PH00135,VH00135,Third Party,14/12/2021,14/12/2022,1473.65,1531.6,1,AGT035,226274.67
POL00136,PH00136,VH00136,Collision,30 Jul 2024,30 Jul 2025,2198.86,726.32,N,AGT031,401220.5
POL00137,PH00137,VH00137,Third Party,11-25-2019,11-24-2020,1800.72,,TRUE,AGT024,22582.8
POL00138,PH00138,VH00138,Third Party Fire & Theft,08-08-2023,07/08/2024,$1638.72,1381.18,FALSE,AGT046,397432.39
POL00139,PH00139,VH00139,Collision,01-03-2021,03/01/2022,4102.5,1164.89,1,AGT047,199247.66
POL00140,PH00140,VH00140,Collision,2019-04-12,11 Apr 2020,$4017.57,1979.78,TRUE,AGT045,317402.14
POL00141,PH00141,VH00141,Collision,2020-09-24,2021-09-24,420.99,291.32,yes,AGT019,319995.29
POL00142,PH00142,VH00142,Collision,20 Jun 2021,06-20-2022,3730.28,,FALSE,AGT033,250961.89
POL00143,PH00143,VH00143,Comprehensive,2022-02-24,02-24-2023,4234.2,1715.28,TRUE,AGT016,14455.3
POL00144,PH00144,VH00144,collision,2021-11-29,11-29-2022,407.79,230.79,True,AGT034,290227.8
POL00145,PH00145,VH00145,Collision,01-27-2024,01-26-2025,1470.45,1083.65,yes,AGT030,154870.76
POL00146,PH00146,VH00146,Third Party Fire & Theft,10-25-2019,2020-10-24,4034.54,504.85,Yes,AGT017,346812.5
POL00147,PH00147,VH00147,Third Party,09 May 2020,09/05/2021,4894.85,1791.42,False,AGT016,241239.93
POL00148,PH00148,VH00148,Third Party,18/12/2024,2025-12-18,4403.31,1257.15,FALSE,AGT032,140814.44
POL00149,PH00149,VH00149,Third Party Fire & Theft,31/10/2019,30 Oct 2020,3860.27,1273.71,Yes,AGT017,248240.25
POL00150,PH00150,VH00150,third party,31 Oct 2024,10-31-2025,833.41,1040.6,0,AGT033,348613.79
POL00151,PH00151,VH00151,Third Party Fire & Theft,16/06/2023,15 Jun 2024,3864.85,1126.94,Yes,AGT011,327438.24
POL00152,PH00152,VH00152,Collision,22 Mar 2023,03-21-2024,$835.74,,no,AGT013,61814.24
POL00153,PH00153,VH00153,Third Party Fire & Theft,11-16-2024,16/11/2025,918.88,1233.88,TRUE,AGT028,69480.42
POL00154,PH00154,VH00154,Comprehensive,29/04/2021,29/04/2022,$1716.93,1445.96,No,AGT005,378595.77
POL00155,PH00155,VH00155,Third Party Fire & Theft,03 Nov 2021,03 Nov 2022,$2280.27,307.16,0,AGT046,148606.24
POL00156,PH00156,VH00156,collision,09-03-2023,02 Sep 2024,2286.16,1668.01,TRUE,AGT046,145429.64
POL00157,PH00157,VH00157,Comprehensive,17 Mar 2020,03-17-2021,3307.18,657.65,True,AGT005,182144.78
POL00158,PH00158,VH00158,Third Party Fire & Theft,06-25-2023,06-24-2024,1997.39,1603.12,no,AGT049,54727.57
POL00159,PH00159,VH00159,Collision,2021-02-09,09 Feb 2022,3751.54,996.95,No,AGT019,365573.29
POL00160,PH00160,VH00160,Third Party,25 Oct 2024,2025-10-25,$4693.74,1915.08,Yes,AGT046,184530.13
POL00161,PH00161,VH00161,Third Party,2022-10-30,10-30-2023,2023.87,635.66,No,AGT045,218074.93
POL00162,PH00162,VH00162,Third Party Fire & Theft,24 Feb 2024,02-23-2025,$3744.59,1031.66,FALSE,AGT031,160962.41
POL00163,PH00163,VH00163,Collision,10-26-2024,10-26-2025,4698.81,1825.46,0,AGT017,64156.3
POL00164,PH00164,VH00164,Collision,2020-09-13,2021-09-13,2302.2,264.5,1,AGT007,209690.58
POL00165,PH00165,VH00165,Third Party,13/01/2022,13/01/2023,$3271.46,745.6,Yes,AGT042,410112.57
POL00166,PH00166,VH00166,third party,10/01/2022,01-10-2023,$3743.43,956.45,TRUE,AGT041,99974.15
POL00167,PH00167,VH00167,Comprehensive,03/11/2020,2020-10-18,$1420.99,,N,AGT035,310323.64
POL00168,PH00168,VH00168,Third Party,08 Jan 2023,08 Jan 2024,$4182.13,471.45,FALSE,AGT043,409405.94
POL00169,PH00169,VH00169,Comprehensive,09 Oct 2020,10-09-2021,4069.16,1854.22,Y,AGT020,92618.34
POL00170,PH00170,VH00170,Third Party Fire & Theft,17 Feb 2024,02-16-2025,$2098.43,830.18,no,AGT043,117446.7
POL00171,PH00171,VH00171,Third Party Fire & Theft,2023-09-03,09-02-2024,4991.63,673.97,TRUE,AGT035,22455.38
POL00172,PH00172,VH00172,Comprehensive,04 Jan 2024,2025-01-03,1507.03,1203.36,1,AGT008,274646.5
POL00173,PH00173,VH00173,Collision,20/03/2022,20 Mar 2023,1701.77,,0,AGT044,356073.82
POL00174,PH00174,VH00174,Collision,09-18-2021,2022-09-18,2490.67,792.95,True,AGT019,383832.45
POL00175,PH00175,VH00175,Comprehensive,27 Jun 2024,06-27-2025,3333.31,,N,AGT035,462629.28
POL00176,PH00176,VH00176,Collision,2021-03-09,09 Mar 2022,$2042.26,1523.55,no,AGT049,164530.1
POL00177,PH00177,VH00177,Collision,2019-03-30,03-29-2020,1932.26,795.06,Y,AGT049,100252.99
POL00178,PH00178,VH00178,Comprehensive,28 Aug 2023,08-27-2024,366.93,409.77,yes,AGT033,408473.76
POL00179,PH00179,VH00179,Third Party Fire & Theft,02-13-2023,13 Feb 2024,$3978.78,1505.15,0,AGT014,55051.39
POL00180,PH00180,VH00180,Collision,01/03/2021,01/03/2022,4684.26,1542.12,False,AGT034,139648.78
POL00181,PH00181,VH00181,Collision,04-27-2022,2023-04-27,4603.62,,Y,AGT004,33254.87
POL00182,PH00182,VH00182,Third Party,29/06/2024,29/06/2025,614.56,254.83,True,AGT031,193537.41
POL00183,PH00183,VH00183,Collision,2024-10-06,2025-10-06,$2697.6,1467.89,1,AGT009,179153.04
POL00184,PH00184,VH00184,Third Party,11-27-2020,11-27-2021,4968.65,,1,AGT008,464774.67
POL00185,PH00185,VH00185,Collision,20/02/2019,02-20-2020,2350.29,1993.91,no,AGT029,10093.23
POL00186,PH00186,VH00186,collision,18/04/2021,18 Apr 2022,$1289.63,354.79,No,AGT050,38964.28
POL00187,PH00187,VH00187,Third Party Fire & Theft,01-28-2023,01-28-2024,1759.0,918.3,no,AGT032,153856.92
POL00188,PH00188,VH00188,Third Party,12 Dec 2022,2023-12-12,1962.85,,FALSE,AGT005,319633.25
POL00189,PH00189,VH00189,Third Party,2022-01-18,2023-01-18,$2574.33,293.33,FALSE,AGT022,398929.61
POL00190,PH00190,VH00190,Comprehensive,03 Apr 2019,2020-04-02,444.36,599.73,FALSE,AGT002,237378.62
POL00191,PH00191,VH00191,Third Party Fire & Theft,09 Apr 2022,04-09-2023,$1285.71,1064.36,N,AGT019,345648.18
POL00192,PH00192,VH00192,Third Party Fire & Theft,14/04/2024,14 Apr 2025,2798.65,818.44,yes,AGT050,37444.21
POL00193,PH00193,VH00193,Collision,2022-09-22,09-22-2023,834.38,1462.28,Yes,AGT013,463440.52
POL00194,PH00194,VH00194,Comprehensive,04-14-2021,04-14-2022,$1344.01,505.55,no,AGT024,427565.7
POL00195,PH00195,VH00195,Comprehensive,08-24-2023,08-23-2024,1216.7,433.39,No,AGT019,81644.95
POL00196,PH00196,VH00196,Comprehensive,04-03-2022,03 Apr 2023,$911.2,1144.89,No,AGT009,298487.57
POL00197,PH00197,VH00197,Third Party Fire & Theft,2019-08-27,2020-08-26,4627.02,450.09,False,AGT026,145991.44
POL00198,PH00198,VH00198,Third Party Fire & Theft,06-05-2019,04/06/2020,3145.41,544.63,N,AGT005,290991.84
POL00199,PH00199,VH00199,Third Party Fire & Theft,2020-06-23,23 Jun 2021,2924.46,1016.16,yes,AGT032,291751.96
POL00200,PH00200,VH00200,Comprehensive,03-03-2023,03-02-2024,$2993.4,735.37,yes,AGT001,133488.29
POL00201,PH00201,VH00201,third party fire & theft,01/03/2021,01 Mar 2022,4321.05,1359.91,False,AGT006,444448.41
POL00202,PH00202,VH00202,third party fire & theft,21 Jul 2019,07-20-2020,4596.27,1169.35,N,AGT035,302282.8
POL00203,PH00203,VH00203,Collision,2024-06-10,10 Jun 2025,2715.53,,yes,AGT046,336505.41
POL00204,PH00204,VH00204,Collision,2024-01-18,01-17-2025,2783.36,1311.48,False,AGT035,476555.45
POL00205,PH00205,VH00205,Collision,29/09/2020,29/09/2021,4120.49,,TRUE,AGT011,105786.75
POL00206,PH00206,VH00206,Third Party,2019-12-13,12-12-2020,2822.55,1871.83,Yes,AGT002,43786.85
POL00207,PH00207,VH00207,Comprehensive,07/08/2022,2023-08-07,4499.22,1371.65,TRUE,AGT032,48217.73
POL00208,PH00208,VH00208,Collision,2021-07-30,30/07/2022,4393.41,1711.39,FALSE,AGT016,113642.49
POL00209,PH00209,VH00209,Collision,18 Jun 2020,18 Jun 2021,4938.52,336.42,Y,AGT026,171087.4
POL00210,PH00210,VH00210,collision,2024-01-24,2025-01-23,4890.85,268.36,no,AGT022,467182.24
POL00211,PH00211,VH00211,Collision,06-01-2024,01/06/2025,1579.84,359.23,Y,AGT026,355027.84
POL00212,PH00212,VH00212,Third Party,21 Jul 2021,2022-07-21,4075.12,504.25,yes,AGT043,446871.07
POL00213,PH00213,VH00213,Third Party,04/02/2023,04 Feb 2024,1594.72,1578.54,1,AGT021,172927.19
POL00214,PH00214,VH00214,Comprehensive,08/10/2021,08 Oct 2022,$2624.68,783.35,0,AGT013,171825.29
POL00215,PH00215,VH00215,Comprehensive,2024-07-25,07-25-2025,799.77,,no,AGT036,182111.63
POL00216,PH00216,VH00216,Collision,06 Oct 2020,10-06-2021,$4428.49,1202.86,1,AGT034,108845.44
POL00217,PH00217,VH00217,Third Party,07-11-2023,07-10-2024,513.54,1923.16,1,AGT024,353747.97
POL00218,PH00218,VH00218,Collision,13 Jun 2021,13/06/2022,$3861.97,425.65,False,AGT041,25029.42
POL00219,PH00219,VH00219,Collision,08-31-2021,31/08/2022,2941.2,1475.59,TRUE,AGT042,216733.58
POL00220,PH00220,VH00220,Third Party,2024-03-13,13/03/2025,3276.24,1469.29,N,AGT015,305771.64
POL00221,PH00221,VH00221,Collision,20 Sep 2020,20 Sep 2021,4939.29,871.07,TRUE,AGT024,118555.38
POL00222,PH00222,VH00222,Comprehensive,2021-09-01,01/09/2022,1227.99,1501.44,N,AGT044,20392.24
POL00223,PH00223,VH00223,Comprehensive,10 Nov 2024,10 Nov 2025,2959.84,713.37,TRUE,AGT044,246873.96
POL00224,PH00224,VH00224,Third Party,06-12-2022,06-12-2023,3671.32,1198.17,TRUE,AGT011,486126.69
POL00225,PH00225,VH00225,Third Party Fire & Theft,11 Feb 2024,10/02/2025,2653.98,766.91,Y,AGT001,367008.29
POL00226,PH00226,VH00226,Collision,07-19-2020,2021-07-19,$2786.9,1302.15,FALSE,AGT018,333846.71
POL00227,PH00227,VH00227,Collision,21 Apr 2023,20 Apr 2024,2699.93,1139.31,no,AGT047,460493.97
POL00228,PH00228,VH00228,Comprehensive,17/02/2019,17 Feb 2020,$4293.33,1691.85,True,AGT022,314634.83
POL00229,PH00229,VH00229,Collision,10-02-2024,02/10/2025,$2344.14,577.07,1,AGT045,477508.73
POL00230,PH00230,VH00230,third party,03/09/2020,03 Sep 2021,4933.41,,no,AGT007,442566.31
POL00231,PH00231,VH00231,Comprehensive,09 Feb 2023,09/02/2024,322.06,1334.78,FALSE,AGT011,346446.1
POL00232,PH00232,VH00232,Third Party,28 Aug 2021,08-28-2022,$2560.73,,yes,AGT009,46045.21
POL00233,PH00233,VH00233,Third Party Fire & Theft,23/07/2021,23/07/2022,3264.1,305.87,Y,AGT019,298851.28
POL00234,PH00234,VH00234,Third Party,2021-08-13,2022-08-13,$3264.31,308.7,False,AGT024,171102.05
POL00235,PH00235,VH00235,Collision,03-25-2020,03-25-2021,410.09,1317.83,Yes,AGT013,206659.57
POL00236,PH00236,VH00236,Comprehensive,07 Dec 2023,12-06-2024,$3313.2,350.71,No,AGT034,361563.17
