payment_id,policy_id,payment_date,amount_usd,payment_method,status,is_late,late_fee_usd
PAY00071,POL02985,18/10/2020,3681.46,Cheque,paid,No,0.0
PAY00072,POL02452,09 Aug 2022,$600.81,Direct Debit,success,No,0.0
PAY00073,POL01120,2022-10-20,3152.21,Bank Transfer,paid,No,0.0
PAY00074,POL02093,2019-09-12,2507.03,Direct Debit,SUCCESS,No,0.0
PAY00075,POL01459,2021-01-29,1859.83,Direct Debit,Paid,Yes,0.0
PAY00076,POL01353,2020-03-22,1736.18,Bank Transfer,Overdue,Yes,0.0
PAY00077,POL00262,09/07/2023,1310.92,Bank Transfer,success,No,95.89
PAY00078,POL01845,05-12-2019,2914.56,Direct Debit,Pending,No,0.0
PAY00079,POL00607,2023-04-07,1150.97,Cheque,success,No,0.0
PAY00080,POL01305,05/12/2019,4349.51,Bank Transfer,Paid,No,92.25
PAY00081,POL02309,2022-06-09,2633.27,Cash,Overdue,No,0.0
PAY00082,POL02314,03-16-2024,4013.74,Cheque,SUCCESS,Yes,0.0
PAY00083,POL00602,11-08-2021,3935.98,Bank Transfer,PAID,No,0.0
PAY00084,POL01719,,1147.01,Direct Debit,SUCCESS,No,0.0
PAY00085,POL00823,2022-11-15,4485.44,Bank Transfer,PAID,Yes,0.0
PAY00086,POL01550,2022-04-10,4527.22,Bank Transfer,SUCCESS,No,0.0
PAY00087,POL00199,2024-12-05,2725.6,Credit Card,Pending,No,71.76
PAY00088,POL02533,31 Dec 2024,741.29,Cash,failed,No,0.0
PAY00089,POL00275,2021-01-07,1074.23,Cash,failed,No,0.0
PAY00090,POL00669,10/02/2023,978.55,Cheque,failed,No,0.0
PAY00091,POL00990,28 Nov 2020,2398.69,Cash,failed,No,0.0
PAY00092,POL01248,2023-07-03,3050.62,Credit Card,SUCCESS,Yes,0.0
PAY00093,POL00311,06-22-2022,2770.3,Bank Transfer,Failed,No,0.0
PAY00094,POL00801,,$1131.6,Direct Debit,Failed,No,0.0
PAY00095,POL02941,11-16-2020,3940.95,Bank Transfer,paid,No,53.07
PAY00096,POL00249,17 Dec 2022,1675.05,Bank Transfer,SUCCESS,No,0.0
PAY00097,POL00487,27/01/2024,921.56,Direct Debit,overdue,No,0.0
PAY00098,POL02438,2020-03-13,2225.95,Cheque,success,No,0.0
PAY00099,POL00996,2019-01-17,1659.83,Bank Transfer,SUCCESS,No,27.46
PAY00100,POL02115,03-22-2019,2549.19,Direct Debit,Overdue,No,0.0
PAY00101,POL01724,18/07/2019,3655.27,Bank Transfer,PAID,No,55.65
PAY00102,POL01777,18 Oct 2022,333.88,Credit Card,Paid,No,0.0
PAY00103,POL00476,2022-03-26,4801.89,Cheque,Pending,No,87.8
PAY00104,POL01611,2023-01-10,2714.4,Credit Card,success,No,43.32
PAY00105,POL00533,30/09/2021,$1326.93,Direct Debit,success,No,74.86
PAY00106,POL02109,2022-04-20,3550.49,Bank Transfer,Failed,No,0.0
PAY00107,POL01494,06-05-2024,1440.13,Cash,Pending,No,0.0
PAY00108,POL02014,2021-01-23,2050.1,Credit Card,success,No,0.0
PAY00109,POL02665,2020-05-31,4948.08,Cheque,Overdue,No,0.0
PAY00110,POL02825,11-04-2023,3632.73,Cheque,overdue,No,0.0
PAY00111,POL01238,08-21-2022,1885.63,Cheque,failed,No,84.81
PAY00112,POL00920,2021-02-04,4187.02,Direct Debit,Overdue,No,0.0
PAY00113,POL00318,09-27-2021,4559.36,Cheque,Paid,Yes,0.0
PAY00114,POL01892,2023-11-01,3329.3,Bank Transfer,paid,Yes,87.97
PAY00115,POL01232,01-09-2020,1951.6,Cheque,overdue,No,0.0
PAY00116,POL02128,04-26-2020,$3268.43,Bank Transfer,PAID,No,0.0
PAY00117,POL00361,07 Nov 2021,1626.67,Direct Debit,success,No,0.0
PAY00118,POL02663,09-11-2022,$1728.15,Bank Transfer,Overdue,No,92.71
PAY00119,POL00296,2020-08-14,$514.79,Cash,SUCCESS,No,0.0
PAY00120,POL01830,09-28-2023,$4727.79,Direct Debit,Overdue,Yes,0.0
PAY00121,POL00630,2024-08-11,$2327.45,Cheque,overdue,No,0.0
PAY00122,POL02863,04-09-2019,4233.49,Credit Card,PAID,No,0.0
PAY00123,POL01938,06/05/2019,1430.53,Cheque,Paid,No,0.0
PAY00124,POL01276,2022-12-22,1347.42,Credit Card,Failed,No,0.0
PAY00125,POL00816,23/09/2019,135.9,Credit Card,PAID,No,86.21
PAY00126,POL01843,,1129.17,Bank Transfer,Failed,No,0.0
PAY00127,POL01723,2023-10-12,3304.04,Direct Debit,Paid,No,0.0
PAY00128,POL00177,10 Jan 2022,2588.61,Credit Card,Pending,No,32.76
PAY00129,POL00901,29 Apr 2019,1780.65,Cash,PAID,No,0.0
PAY00130,POL00662,11 Dec 2022,$985.02,Credit Card,Pending,No,0.0
PAY00131,POL01310,2019-10-15,2263.07,Direct Debit,overdue,No,0.0
PAY00132,POL00785,15/09/2019,$1202.31,Cash,Paid,No,0.0
PAY00133,POL01593,18/07/2023,$2285.63,Cheque,SUCCESS,No,21.09
PAY00134,POL02400,,1433.28,Direct Debit,overdue,No,0.0
PAY00135,POL01465,2023-09-01,383.88,Cheque,Pending,Yes,0.0
PAY00136,POL01579,04-27-2022,1862.02,Direct Debit,paid,No,0.0
PAY00137,POL01397,,983.86,Direct Debit,Overdue,Yes,0.0
PAY00138,POL01711,02/12/2020,1269.23,Cheque,SUCCESS,No,0.0
PAY00139,POL02286,14 Aug 2020,4220.79,Cheque,SUCCESS,No,40.87
PAY00140,POL00307,30 Sep 2024,4981.44,Credit Card,SUCCESS,No,0.0
PAY00141,POL01900,,$2737.77,Cash,paid,No,0.0
PAY00142,POL01698,2020-12-28,524.16,Cheque,paid,Yes,75.55
PAY00143,POL00441,06-27-2020,$1286.0,Cheque,overdue,Yes,0.0
PAY00144,POL02115,2024-10-31,3041.61,Bank Transfer,success,No,0.0
PAY00145,POL00339,03/04/2021,2147.36,Bank Transfer,paid,No,0.0
PAY00146,POL02172,08-05-2024,$4266.1,Bank Transfer,paid,No,0.0
PAY00147,POL00143,21/06/2023,1450.57,Cash,success,No,0.0
PAY00148,POL02838,07-17-2019,$3738.7,Direct Debit,paid,No,0.0
PAY00149,POL01115,14/03/2021,4784.81,Bank Transfer,Paid,No,0.0
PAY00150,POL02029,2022-11-10,826.09,Bank Transfer,overdue,Yes,18.94
PAY00151,POL01420,30 Aug 2019,2915.03,Bank Transfer,Pending,No,0.0
PAY00152,POL00036,17/07/2020,$3990.09,Credit Card,Overdue,No,0.0
PAY00153,POL01742,10 Dec 2020,$211.89,Cash,Pending,No,0.0
PAY00154,POL02252,,519.42,Cash,Failed,No,0.0
PAY00155,POL02547,07 Nov 2022,4655.0,Cheque,Failed,No,0.0
PAY00156,POL00374,22 Nov 2019,4330.58,Cheque,PAID,No,0.0
PAY00157,POL02005,21/01/2023,4473.67,Cheque,Failed,No,0.0
PAY00158,POL01985,29/08/2020,2398.11,Direct Debit,PAID,No,70.93
PAY00159,POL01535,12-31-2024,2583.08,Direct Debit,success,Yes,0.0
PAY00160,POL00364,2024-07-07,2849.18,Direct Debit,PAID,No,0.0
PAY00161,POL00952,04/03/2020,467.0,Cheque,success,No,0.0
PAY00162,POL01961,28/02/2024,941.95,Direct Debit,Pending,No,0.0
PAY00163,POL02949,2024-04-23,4045.56,Credit Card,PAID,No,0.0
PAY00164,POL01156,2020-11-12,3917.02,Direct Debit,Pending,No,0.0
PAY00165,POL01912,13 Jun 2019,452.2,Direct Debit,failed,Yes,0.0
PAY00166,POL02353,16/05/2022,2145.76,Credit Card,Failed,Yes,24.87
PAY00167,POL01238,20 Sep 2023,1370.82,Credit Card,Pending,No,0.0
PAY00168,POL01987,11 Jan 2021,308.18,Cash,overdue,No,0.0
PAY00169,POL00476,07-29-2022,$3289.02,Bank Transfer,success,No,0.0
PAY00170,POL02289,04-27-2021,3806.85,Bank Transfer,success,No,0.0
PAY00171,POL00656,30 Sep 2020,1411.25,Cheque,Paid,No,64.7
PAY00172,POL00028,06 Sep 2024,$1549.92,Cash,failed,No,0.0
PAY00173,POL00357,2023-12-16,1411.76,Cash,success,Yes,22.58
PAY00174,POL00150,08 Feb 2021,957.01,Direct Debit,SUCCESS,Yes,0.0
PAY00175,POL00298,08-17-2020,$2174.05,Cash,Paid,No,92.09
PAY00176,POL02682,2022-12-31,$1047.68,Cheque,Overdue,No,0.0
PAY00177,POL00719,03 May 2024,4918.89,Cheque,overdue,No,0.0
PAY00178,POL02301,10-04-2019,$4634.26,Credit Card,Paid,No,0.0
PAY00179,POL01687,,1807.96,Credit Card,SUCCESS,Yes,0.0
PAY00180,POL02166,27/06/2021,2037.9,Cheque,Pending,No,97.04
PAY00181,POL01039,02-15-2021,$984.45,Cheque,Overdue,Yes,0.0
PAY00182,POL00810,2021-07-13,3379.61,Cash,Pending,No,0.0
PAY00183,POL02429,2019-12-19,4264.69,Cheque,paid,No,0.0
PAY00184,POL01618,05-15-2019,314.7,Credit Card,Paid,No,71.61
PAY00185,POL01521,2021-10-30,$4420.47,Bank Transfer,overdue,No,49.31
PAY00186,POL00409,2020-10-16,3803.52,Cash,paid,No,0.0
PAY00187,POL02067,07-27-2023,1523.27,Cash,Paid,No,0.0
PAY00188,POL00730,02-06-2022,1194.66,Bank Transfer,SUCCESS,No,0.0
PAY00189,POL02720,10-03-2022,$4122.13,Direct Debit,Failed,No,0.0
PAY00190,POL02820,04-16-2023,653.48,Bank Transfer,Overdue,Yes,0.0
PAY00191,POL00277,14 Nov 2020,2734.51,Bank Transfer,Paid,No,0.0
PAY00192,POL00924,2023-07-11,$3444.24,Cheque,failed,No,0.0
PAY00193,POL00192,22/12/2021,1813.71,Credit Card,Overdue,No,0.0
PAY00194,POL00492,08 May 2023,2000.73,Direct Debit,Overdue,Yes,0.0
PAY00195,POL00613,02-10-2022,160.31,Cheque,Paid,No,0.0
PAY00196,POL01460,14 Aug 2024,1533.75,Credit Card,failed,No,0.0
PAY00197,POL00528,2023-08-07,2500.02,Direct Debit,Overdue,No,89.24
PAY00198,POL01679,01-07-2019,$3839.08,Direct Debit,PAID,No,0.0
PAY00199,POL02560,15/07/2021,1915.68,Cash,failed,No,0.0
PAY00200,POL00170,16/11/2023,$3153.47,Cash,Pending,Yes,0.0
PAY00201,POL01010,27/09/2019,2757.11,Cheque,Failed,Yes,0.0
PAY00202,POL01755,2024-10-01,4799.63,Cheque,SUCCESS,No,0.0
PAY00203,POL00723,2019-07-19,1461.58,Cash,Paid,No,27.59
PAY00204,POL02985,08-31-2021,$4688.51,Bank Transfer,Overdue,Yes,0.0
PAY00205,POL00932,06-01-2020,4816.42,Bank Transfer,Paid,No,0.0
PAY00206,POL00326,01 Jul 2021,2159.66,Cheque,SUCCESS,No,0.0
PAY00207,POL00101,11 Jan 2022,2694.39,Cash,paid,Yes,0.0
PAY00208,POL01371,2022-01-31,573.63,Cash,success,No,0.0
PAY00209,POL02261,08-06-2022,462.94,Direct Debit,Paid,No,0.0
PAY00210,POL00367,02 Jan 2020,261.0,Bank Transfer,PAID,No,54.82
PAY00211,POL01648,05/11/2024,1565.06,Bank Transfer,SUCCESS,No,0.0
PAY00212,POL02063,16/07/2023,4914.3,Direct Debit,Paid,Yes,0.0
PAY00213,POL02406,28 Apr 2019,1821.59,Bank Transfer,SUCCESS,No,0.0
PAY00214,POL01004,2021-04-09,3913.53,Direct Debit,Failed,No,0.0
PAY00215,POL00309,,3263.5,Cash,SUCCESS,No,0.0
PAY00216,POL00367,30 Sep 2023,3082.52,Direct Debit,Failed,No,0.0
PAY00217,POL00570,2020-07-12,1114.48,Cash,paid,No,0.0
PAY00218,POL00593,28 Aug 2020,1459.63,Bank Transfer,SUCCESS,Yes,0.0
PAY00219,POL02384,2021-12-07,3537.86,Credit Card,overdue,No,0.0
PAY00220,POL00049,18 Nov 2022,2269.99,Direct Debit,Failed,No,0.0
PAY00221,POL00418,11-08-2021,4098.59,Credit Card,Paid,No,0.0
PAY00222,POL00836,08 Jan 2023,4922.73,Cheque,SUCCESS,No,0.0
PAY00223,POL01834,21/01/2023,1145.61,Cash,Failed,No,0.0
PAY00224,POL00952,25 Nov 2023,1521.41,Bank Transfer,overdue,Yes,0.0
PAY00225,POL01013,02-16-2021,2176.24,Direct Debit,Paid,No,0.0
PAY00226,POL02024,2023-01-27,2482.32,Cheque,failed,No,0.0
PAY00227,POL01166,19/07/2021,4293.64,Cash,SUCCESS,Yes,61.46
PAY00228,POL01993,,4691.61,Credit Card,SUCCESS,No,0.0
PAY00229,POL01564,06 May 2021,2764.3,Cash,overdue,No,0.0
PAY00230,POL01863,28/04/2021,$2874.8,Bank Transfer,Failed,No,0.0
PAY00231,POL00474,,4965.18,Bank Transfer,Overdue,No,0.0
PAY00232,POL01747,2024-04-24,1791.35,Direct Debit,SUCCESS,No,45.13
PAY00233,POL01469,13 Oct 2020,$3295.41,Cheque,Pending,Yes,88.39
PAY00234,POL01789,31 Mar 2023,$4013.99,Direct Debit,Paid,No,0.0
PAY00235,POL01777,04-26-2020,$405.17,Direct Debit,overdue,No,0.0
PAY00236,POL01303,2022-11-01,110.81,Direct Debit,Failed,No,0.0
PAY00237,POL02355,19/12/2021,1491.69,Cash,PAID,No,0.0
PAY00238,POL00779,07/11/2020,$2808.47,Cash,Overdue,No,0.0
PAY00239,POL02105,13 May 2022,1428.14,Direct Debit,Pending,No,0.0
PAY00240,POL00223,06-26-2022,4084.46,Direct Debit,Pending,No,0.0
PAY00241,POL01876,05-24-2019,$1680.61,Bank Transfer,Paid,No,0.0
PAY00242,POL02545,2020-07-18,$3673.26,Direct Debit,Pending,Yes,85.77
PAY00243,POL01844,27 May 2020,1714.38,Cheque,success,No,70.29
PAY00244,POL02880,28/02/2022,$3906.79,Credit Card,Failed,No,0.0
PAY00245,POL00842,25/03/2020,3958.86,Direct Debit,success,No,0.0
PAY00246,POL00150,2022-03-24,4706.7,Cheque,failed,No,0.0
PAY00247,POL02130,01-30-2024,4422.77,Cheque,overdue,No,0.0
PAY00248,POL00678,26/08/2023,1710.48,Direct Debit,success,Yes,0.0
PAY00249,POL00204,2019-07-18,2439.58,Credit Card,Overdue,No,0.0
PAY00250,POL02415,2022-03-02,571.41,Credit Card,Paid,No,0.0
PAY00251,POL00852,05-22-2022,959.51,Bank Transfer,paid,No,0.0
PAY00252,POL00113,06 Oct 2019,103.3,Direct Debit,SUCCESS,No,0.0
PAY00253,POL02161,2020-11-26,4540.66,Credit Card,overdue,No,0.0
PAY00254,POL00727,02-20-2022,2607.72,Cash,Paid,No,0.0
PAY00255,POL00115,15 Oct 2022,$1071.14,Bank Transfer,Pending,No,0.0
PAY00256,POL01692,06-03-2022,4613.55,Cheque,overdue,No,50.2
PAY00257,POL02330,2022-06-26,3154.64,Direct Debit,Failed,No,0.0
PAY00258,POL01416,2024-01-08,4757.89,Cash,Failed,No,50.28
PAY00259,POL02431,19 Jan 2024,2838.51,Cash,overdue,No,0.0
PAY00260,POL01769,,2990.75,Direct Debit,failed,No,0.0
PAY00261,POL01091,21 Aug 2024,4473.87,Cheque,Failed,No,0.0
PAY00262,POL01331,02/01/2023,4188.47,Direct Debit,Paid,No,0.0
PAY00263,POL00120,04 Dec 2020,690.08,Cheque,SUCCESS,No,0.0
PAY00264,POL01491,18 May 2021,1162.64,Direct Debit,success,No,0.0
PAY00265,POL00380,16/04/2021,607.2,Cash,paid,No,0.0
PAY00266,POL00195,26 May 2024,1612.01,Direct Debit,Paid,No,80.17
PAY00267,POL00960,20/12/2020,1989.82,Cheque,SUCCESS,No,0.0
PAY00268,POL02572,2021-02-27,4341.21,Cash,overdue,No,0.0
PAY00269,POL02599,03/11/2022,4123.58,Cheque,Overdue,Yes,0.0
PAY00270,POL02696,07/07/2021,146.52,Cheque,Paid,No,0.0
PAY00271,POL01817,2021-04-11,2057.28,Cheque,success,No,0.0
PAY00272,POL01059,07/05/2023,4540.23,Cash,PAID,No,0.0
PAY00273,POL00727,12/02/2024,2843.38,Cash,paid,No,0.0
PAY00274,POL01936,01/04/2023,3097.51,Credit Card,failed,No,59.29
PAY00275,POL00940,,2900.52,Cash,SUCCESS,No,35.86
PAY00276,POL02814,2020-03-28,1115.98,Credit Card,overdue,No,0.0
PAY00277,POL01867,08-15-2022,191.71,Cheque,PAID,No,0.0
PAY00278,POL01381,2021-01-09,4199.8,Direct Debit,success,Yes,0.0
PAY00279,POL01175,28 Nov 2023,1684.62,Cheque,failed,No,0.0
PAY00280,POL01242,31 Aug 2021,$214.91,Cash,overdue,No,0.0
PAY00281,POL01445,2024-09-27,$3504.79,Credit Card,paid,No,0.0
PAY00282,POL00506,24/08/2024,$4292.21,Cheque,Failed,No,0.0
PAY00283,POL01821,26 Oct 2022,4282.44,Cash,Overdue,No,0.0
PAY00284,POL00528,02-04-2020,1635.29,Credit Card,PAID,No,27.77
PAY00285,POL02953,03 Aug 2020,2579.39,Bank Transfer,success,No,0.0
PAY00286,POL00072,2021-07-01,4259.95,Bank Transfer,PAID,Yes,0.0
PAY00287,POL01356,04/06/2020,4722.5,Bank Transfer,success,Yes,0.0
PAY00288,POL02869,28 Dec 2023,2470.25,Bank Transfer,success,No,0.0
PAY00289,POL02883,08 May 2024,$402.64,Credit Card,paid,No,0.0
PAY00290,POL02655,30/05/2023,3918.01,Credit Card,success,No,0.0
PAY00291,POL00590,23 Feb 2023,$2474.99,Credit Card,Failed,No,0.0
PAY00292,POL01672,23 Aug 2019,4948.16,Credit Card,failed,No,0.0
PAY00293,POL02652,2019-12-15,1214.03,Direct Debit,paid,No,0.0
PAY00294,POL02316,01-07-2023,795.64,Cash,Failed,No,0.0
PAY00295,POL01417,11-04-2019,751.2,Bank Transfer,Failed,No,0.0
PAY00296,POL00464,2022-07-25,$1671.42,Cheque,success,No,0.0
PAY00297,POL01795,03 Sep 2023,4738.58,Direct Debit,PAID,No,0.0
PAY00298,POL00802,13/06/2021,783.15,Cash,failed,No,0.0
PAY00299,POL01344,07-11-2024,$4350.67,Credit Card,Paid,No,0.0
PAY00300,POL00708,10-02-2020,3075.16,Cheque,SUCCESS,No,79.31
PAY00301,POL00552,08-27-2019,1350.61,Cash,overdue,No,0.0
PAY00302,POL00995,,$2831.5,Direct Debit,failed,No,0.0
PAY00303,POL02460,12-17-2023,3420.73,Direct Debit,failed,No,0.0
PAY00304,POL00802,24 Aug 2020,2989.7,Bank Transfer,failed,No,0.0
PAY00305,POL01127,26/11/2023,4203.49,Bank Transfer,Pending,No,0.0
PAY00306,POL02848,,1483.12,Cash,Failed,No,0.0
PAY00307,POL02104,13 Apr 2024,1290.99,Direct Debit,SUCCESS,Yes,0.0
PAY00308,POL02696,06 Aug 2021,2026.62,Cheque,SUCCESS,No,70.25
PAY00309,POL00594,2019-07-31,4950.7,Direct Debit,failed,No,46.25
PAY00310,POL01915,28 Apr 2022,2195.49,Bank Transfer,Pending,Yes,0.0
PAY00311,POL01372,01-12-2023,3183.49,Cheque,success,No,0.0
PAY00312,POL01660,14/07/2023,3424.83,Cash,Paid,Yes,0.0
PAY00313,POL01934,25 Mar 2022,1920.67,Credit Card,success,No,0.0
PAY00314,POL01617,10/10/2019,2722.01,Credit Card,Failed,No,0.0
PAY00315,POL00562,01-08-2023,4491.17,Direct Debit,paid,No,79.25
PAY00316,POL00799,04/07/2024,3703.72,Bank Transfer,Paid,No,18.49
PAY00317,POL02683,2022-05-09,2766.01,Cheque,Paid,No,0.0
PAY00318,POL00773,,2172.32,Credit Card,Pending,No,0.0
PAY00319,POL00492,20/10/2020,1008.1,Bank Transfer,Paid,No,0.0
PAY00320,POL02698,22 Aug 2023,4071.67,Bank Transfer,Failed,No,17.96
PAY00321,POL00245,2019-06-06,3510.05,Credit Card,PAID,Yes,49.1
PAY00322,POL00861,26/04/2022,$1365.5,Bank Transfer,success,No,0.0
PAY00323,POL02998,2023-07-16,2553.09,Credit Card,Paid,Yes,0.0
PAY00324,POL00370,02 Apr 2023,2956.74,Direct Debit,paid,No,71.77
PAY00325,POL02020,16 Apr 2021,$542.07,Cheque,Pending,No,0.0
PAY00326,POL02903,,3128.11,Direct Debit,Pending,No,0.0
PAY00327,POL00186,27 Feb 2023,2469.17,Cheque,Overdue,No,0.0
PAY00328,POL00494,02/08/2021,2421.45,Cheque,success,Yes,0.0
PAY00329,POL01204,2022-06-06,2200.9,Direct Debit,paid,No,0.0
PAY00330,POL02674,09 Jul 2019,403.22,Bank Transfer,overdue,No,0.0
PAY00331,POL02551,01-10-2019,$4497.84,Cheque,Pending,No,0.0
PAY00332,POL01650,06 Nov 2024,2030.3,Credit Card,Overdue,No,0.0
PAY00333,POL01263,21 Apr 2020,1082.61,Cheque,Failed,No,0.0
PAY00334,POL01836,2020-10-04,4791.68,Cheque,success,No,0.0
PAY00335,POL01209,03-11-2024,$3466.35,Cash,Paid,No,0.0
PAY00336,POL00042,25/11/2019,309.62,Credit Card,Pending,No,48.96
PAY00337,POL02900,,4266.64,Bank Transfer,paid,No,0.0
PAY00338,POL00408,05-31-2021,$2194.44,Bank Transfer,overdue,No,0.0
PAY00339,POL02174,25 Jul 2023,509.95,Direct Debit,failed,No,0.0
PAY00340,POL02398,04/10/2022,1311.39,Credit Card,PAID,No,58.82
PAY00341,POL02337,02/04/2022,1861.83,Credit Card,overdue,Yes,0.0
PAY00342,POL02791,16/10/2021,4805.73,Direct Debit,overdue,No,0.0
PAY00343,POL00627,23 Jan 2023,$3071.74,Cash,Failed,No,0.0
PAY00344,POL00266,06/08/2022,3558.14,Bank Transfer,Pending,No,0.0
PAY00345,POL02611,07 Dec 2019,1244.43,Credit Card,success,No,0.0
PAY00346,POL01286,2021-01-19,3350.72,Direct Debit,success,No,0.0
PAY00347,POL01123,05/10/2024,3471.49,Cheque,overdue,No,0.0
PAY00348,POL00797,22/09/2019,4502.31,Credit Card,success,No,0.0
PAY00349,POL00430,03-09-2022,4642.11,Cash,Failed,No,0.0
PAY00350,POL01426,30 Oct 2019,$2989.23,Credit Card,Failed,Yes,0.0
PAY00351,POL00699,2024-03-30,2094.92,Cash,failed,No,0.0
